taxon	min_age	max_age
Hesperocyoninae	15.0	38.0
Borophaginae	2.0	34.0
Leptocyon_mollis	29.0	30.0
Leptocyon_douglassi	25.7	30.6
Leptocyon_vulpinus	18.5	27.3
Leptocyon_gregorii	24.1	27.3
Leptocyon_leidyi	13.6	20.8
Leptocyon_vafer	10.3	15.0
Leptocyon_matthewi	10.3	13.6
Vulpes_stenognathus	4.9	12.0
Metalopex_macconnelli	7.6	12.0
Metalopex_merriami	7.6	11.0
Urocyon_webbi	6.7	8.5
Urocyon_galushai	1.08	4.75
Urocyon_citrinus	1.08	1.9
Urocyon_minicephalus	0.25	1.08
Urocyon_cinereoargenteus	0.0	3.6
Cerdocyonina	0.0	5.33
Eucyon_davisi	4.9	10.3
Canis_ferox	2.79	7.6
Canis_thooides	1.81	3.28
Canis_lepophagus	1.81	4.75
Canis_aureus	0.0	0.0
Canis_arnensis	1.6	1.9
Canis_etruscus	1.6	1.9
Canis_falconeri	1.8	3.96
Canis_antonii	1.3	3.96
Canis_edwardii	0.25	3.28
Canis_mosbachensis	0.01	0.77
Canis_palmidens	2.58	3.96
Canis_variabilis	0.47	0.66
Canis_chihliensis	1.3	2.58
Canis_latrans	0.0	0.85
Canis_armbrusteri	0.25	1.9
Canis_dirus	0.01	1.08
Canis_lupus	0.0	1.72
Xenocyon_lycaonoides	0.87	1.72
Cuon_javanicus	0.0	0.78
Lycaon_pictus	0.0	0.2